9,90	9,98	10,24	10,99	11,98	13,50	17,55	0,00	0,00	0,00	
9,91	9,98	10,36	10,99	12,06	13,88	15,45	0,00	0,00	0,00	
9,91	9,98	10,37	10,98	11,98	14,04	16,80	0,00	0,00	0,00	
9,91	9,98	10,29	10,98	12,06	13,52	17,49	0,00	0,00	0,00	
9,91	9,98	10,28	10,98	12,06	14,11	15,69	30,94	0,00	0,00	
9,85	9,98	10,28	11,06	11,99	13,74	38,40	0,00	0,00	0,00	
9,86	9,98	10,28	11,04	12,05	13,73	16,14	35,38	0,00	0,00	
9,86	9,91	10,28	11,03	11,98	13,96	17,03	21,23	0,00	0,00	
9,99	10,00	10,36	11,03	11,97	13,59	16,03	26,81	0,00	0,00	
12,52	10,36	10,36	11,03	11,90	13,87	17,00	18,03	0,00	0,00	
